patient	sample	deletion_microhomology_proportion	hrd_score	snv_signature_3	snv_signature_8	rearrangement_signature_3	rearrangement_signature_5	HRDetect
patient1	sample1	1.5158065900178797	0.5271708922817335	-0.012638918315338187	-0.05993886760255951	0.03183976840878389	-0.7345185877027433	0.502821335767907
patient10	sample1	-0.4550192261723472	2.1822644609966066	1.14448622468611	-0.7509843678572764	-1.18495456988364	0.5479418248248158	0.10656829283386754
patient11	sample1	-0.9794333528790915	0.35874306535469985	1.9453074824843526	-1.4416859734471545	-1.2119117114191127	0.08684959498907632	0.021999827774807135
patient12	sample1	0.8672988462022133	-0.23754153997638594	-0.9237357324260516	-0.840241800132992	-0.6659346694793367	-1.3883539942401846	0.007026492405887154
patient13	sample1	0.34139132573515635	0.35874306535469985	-0.1552353850072937	0.012585696541874582	-0.5313509809341945	-0.23434541275868925	0.033370624942255955
patient14	sample1	-0.6664862184605285	0.6839734478003141	1.651834134054376	2.6402647697789603	-0.9126050035128206	-2.0895765378293065	0.01181196876915821
patient15	sample1	0.2046415228360838	0.830652442682778	-0.5681429213136524	0.06101633637187952	0.24252815238904218	0.8932831255982634	0.10040754840011983
patient16	sample1	0.6047024282726555	-1.3985131230482561	-1.4880956786874293	-0.6882101773759417	1.1731423414490785	1.2592557355080658	0.052777034457507865
patient2	sample1	-1.583647575694949	-1.3985131230482561	-0.224812760415545	0.07425767260838527	1.3542804278789415	0.2038427962422646	0.001210306185099572
patient3	sample1	0.24283594978309395	-0.47699813527155505	-0.5695358795292527	0.3055823295386045	1.0220584153527827	0.046312281478439264	0.05886213610587036
patient4	sample1	1.0095701070303078	-0.23754153997638594	-1.024508252744492	0.23460374000978443	0.6725444985276636	-0.4333752181462301	0.08929691768003845
patient5	sample1	-1.8021488182710448	-0.020926700817531722	-0.9938466988040018	0.12363530585165418	-1.6059571082989725	-0.34576841168335903	1.082240097464527e-5
patient6	sample1	-0.6966456038519938	-1.0481693844721336	-0.2529182760668195	-0.3424666697454187	1.4745994637928213	1.9765004505885124	0.05743278722715564
patient7	sample1	1.132207287917573	-1.3985131230482561	-0.12088766787019471	-1.2811028334554222	0.7284164539848332	-0.08489110526393769	0.24505834147059832
patient8	sample1	-0.6354276302606003	0.1768271537056115	0.8374548519522247	0.5490040925834847	-0.7087825605559614	-0.5970176607248412	0.009070528261360407
patient9	sample1	0.9003543677956148	1.0983421414823116	0.7552754780030109	1.403680746332142	0.1220870823000877	0.8938611191198813	0.8544569869721202
